Window_Position,F1_Score,Recall,Precision
7.5,0.0,0.0,0.0
14.5,0.0,0.0,0.0
21.5,0.0,0.0,0.0
28.5,0.0,0.0,0.0
35.5,0.125,1.0,0.06666666666666667
42.5,0.23529411764705882,1.0,0.13333333333333333
49.5,0.3333333333333333,1.0,0.2
56.5,0.23529411764705882,1.0,0.13333333333333333
63.5,0.0,0.0,0.0
70.5,0.125,1.0,0.06666666666666667
77.5,0.125,1.0,0.06666666666666667
84.5,0.125,1.0,0.06666666666666667
91.5,0.23529411764705882,1.0,0.13333333333333333
98.5,0.3333333333333333,1.0,0.2
105.5,0.23529411764705882,1.0,0.13333333333333333
112.5,0.125,1.0,0.06666666666666667
119.5,0.0,0.0,0.0
126.5,0.0,0.0,0.0
133.5,0.0,0.0,0.0
140.5,0.0,0.0,0.0
147.5,0.0,0.0,0.0
154.5,0.0,0.0,0.0
161.5,0.0,0.0,0.0
168.5,0.0,0.0,0.0
175.5,0.0,0.0,0.0
182.5,0.0,0.0,0.0
189.5,0.0,0.0,0.0
196.5,0.0,0.0,0.0
203.5,0.0,0.0,0.0
210.5,0.0,0.0,0.0
217.5,0.0,0.0,0.0
224.5,0.0,0.0,0.0
231.5,0.0,0.0,0.0
238.5,0.0,0.0,0.0
245.5,0.0,0.0,0.0
252.5,0.0,0.0,0.0
259.5,0.0,0.0,0.0
266.5,0.0,0.0,0.0
273.5,0.3333333333333333,1.0,0.2
280.5,0.4,1.0,0.25
287.5,0.23529411764705882,1.0,0.13333333333333333
294.5,0.23529411764705882,1.0,0.13333333333333333
301.5,0.15384615384615385,1.0,0.08333333333333333
308.5,0.2857142857142857,0.5,0.2
315.5,0.0,0.0,0.0
322.5,0.0,0.0,0.0
329.5,0.0,0.0,0.0
336.5,0.0,0.0,0.0
343.5,0.0,0.0,0.0
350.5,0.13333333333333333,1.0,0.07142857142857142
357.5,0.23529411764705882,1.0,0.13333333333333333
364.5,0.23529411764705882,1.0,0.13333333333333333
371.5,0.23529411764705882,1.0,0.13333333333333333
378.5,0.2857142857142857,0.6666666666666666,0.18181818181818182
385.5,0.3333333333333333,0.5,0.25
392.5,0.0,0.0,0.0
399.5,0.0,0.0,0.0
406.5,0.0,0.0,0.0
413.5,0.0,0.0,0.0
420.5,0.0,0.0,0.0
427.5,0.0,0.0,0.0
434.5,0.0,0.0,0.0
441.5,0.0,0.0,0.0
448.5,0.0,0.0,0.0
455.5,0.18181818181818182,0.5,0.1111111111111111
462.5,0.23529411764705882,1.0,0.13333333333333333
469.5,0.125,1.0,0.06666666666666667
476.5,0.23529411764705882,1.0,0.13333333333333333
483.5,0.3333333333333333,1.0,0.2
490.5,0.18181818181818182,1.0,0.1
497.5,0.5,1.0,0.3333333333333333
504.5,0.0,0.0,0.0
511.5,0.0,0.0,0.0
518.5,0.0,0.0,0.0
525.5,0.0,0.0,0.0
532.5,0.0,0.0,0.0
539.5,0.36363636363636365,0.6666666666666666,0.25
546.5,0.3333333333333333,1.0,0.2
